OBJECTID,ExpectedK,ObservedK,DiffK
1,56.760865288378035,113.616710277181525,56.855844988803490
2,113.521730576756070,259.820033443474870,146.298302866718814
3,170.282595865134113,317.380886720978936,147.098290855844823
4,227.043461153512141,337.731582828212936,110.688121674700795
5,283.804326441890169,338.357591859996944,54.553265418106776
6,340.565191730268225,338.357591859996944,-2.207599870271281
7,397.326057018646281,340.228708015997483,-57.097349002648798
8,454.086922307024281,351.547259208046569,-102.539663098977712
9,510.847787595402338,372.872176340332089,-137.975611255070248
10,567.608652883780337,399.715296731860576,-167.893356151919761
