FID	X	Y
0	210302.63	176873.71
1	232984.75	190991.73
2	-172599.13	350006.07
3	91581.84	139534.62
4	-132214.45	145602.19
5	109351.05	105879.40
6	178692.30	252950.93
7	-196156.00	192686.42
8	-166227.96	161973.11
9	-157082.06	151659.78
10	117551.46	219309.71
11	204938.63	110300.79
12	-174550.53	168119.19
13	-146935.97	181126.92
14	-55987.57	274428.55
15	193921.81	275099.33
16	-84142.00	218213.44
17	-34606.04	166736.71
18	-33749.43	169033.00
19	248426.94	123006.92
20	-77968.91	145465.39
21	117554.25	219305.61
22	-162797.16	161944.68
23	233561.72	106356.65
24	65548.38	91791.13
25	179804.41	251637.54
26	201797.04	185801.90
27	199567.34	329967.69
28	-158587.75	208982.74
29	148648.67	231444.92
30	130173.01	224268.41
31	188637.40	114617.69
32	-1406.18	308107.59
33	-137128.47	326057.78
34	188931.58	277876.75
35	-77940.33	145664.67
36	-186365.55	140653.01
37	66065.07	131653.27
38	30247.43	103733.80
39	237761.59	123621.96
40	-117228.65	244321.19
41	175943.70	204313.03
42	177224.72	150767.57
43	196783.71	269162.55
44	225233.02	98464.18
45	85066.06	251436.46
46	118235.67	217334.50
47	232082.34	109588.84
48	-65082.38	235081.36
49	241790.06	148359.37
50	-191788.26	210114.71
51	220469.19	131569.05
52	-172324.26	350069.17
53	249101.93	117296.88
54	266714.98	136112.29
55	257356.05	123348.26
56	-104.2018284	103363.42
57	191764.06	206015.86
58	227070.57	154779.21
59	117386.46	219400.60
60	176822.11	254152.45
61	-135416.23	114793.39
62	247680.42	120233.02
63	-187366.50	162071.03
64	-198273.74	270475.04
65	237669.37	225103.13
66	134559.04	149586.67
67	242417.26	110243.23
68	-172546.65	350034.82
69	87074.41	90280.37
70	95215.57	140226.19
71	100634.83	143249.09
72	171319.54	218409.50
73	-132007.54	128292.23
74	248726.74	127321.76
75	239571.60	135477.57
76	-97841.74	179115.09
77	237674.02	110456.08
78	-1028.21	165882.17
79	-197847.11	226189.57
80	248451.40	122773.66
81	61394.80	244734.29
82	222752.25	189214.71
83	222636.52	189039.10
84	244690.49	112996.86
85	233907.23	113386.82
86	144699.46	117666.49
87	36549.20	179690.90
88	44482.23	236796.67
89	-118516.30	147598.83
90	267065.11	127459.24
91	102691.17	246076.85
92	112711.70	141145.70
93	242225.47	110125.58
94	-196715.66	192752.03
95	236702.47	109383.63
96	-168401.46	161343.48
97	-60010.99	184547.90
98	176679.35	316683.05
99	196405.41	270305.97
100	-162750.42	133015.79
101	225300.76	129511.04
102	225908.95	129147.99
103	-33002.32	148712.07
104	167388.34	245634.65
105	236765.04	129467.84
106	183576.75	252947.41
107	-177291.45	165610.34
108	265258.22	135915.06
109	213222.36	118959.97
110	243121.61	108935.30
111	203140.23	140720.29
112	-166304.99	161929.16
113	237811.37	114809.08
114	130800.36	141843.79
115	224899.33	163061.29
116	-202392.75	261596.06
117	87339.33	134968.42
118	22056.95	258508.69
119	87464.25	134792.10
120	247681.93	117153.26
121	58185.95	305054.95
122	214184.21	181641.62
123	245416.88	115742.93
124	143292.68	116914.43
125	-160709.67	167107.06
126	-171980.63	347551.05
127	-184464.54	173554.65
128	119739.86	201226.49
129	-209220.47	250890.65
130	-175326.42	347818.27
131	-92027.30	112353.52
132	228703.53	130049.35
133	-179532.83	148841.79
134	243140.99	115494.52
135	242775.39	109354.02
136	-139940.89	293783.35
137	39894.26	116984.50
138	206353.62	179348.13
139	227729.91	111825.47
140	170940.32	152794.96
141	-174939.68	243140.04
142	140588.75	119324.74
143	-170346.55	163536.11
144	-78302.91	147680.78
145	93642.87	143305.67
146	93642.25	143307.33
147	224086.32	131776.61
148	-33521.57	165350.94
149	-170661.37	346501.06
150	-161295.07	165745.14
151	93665.02	143544.73
152	176222.62	150589.41
153	208747.06	181937.08
154	241590.41	108795.23
155	111501.12	102609.44
156	-194141.00	130903.82
157	258956.30	128479.31
158	208224.92	137911.97
159	-191292.19	133874.27
160	228421.61	289682.40
161	-186469.47	177413.46
162	37002.35	83525.39
163	-148123.55	159661.14
164	103006.67	207443.89
165	-175467.76	155064.13
166	-165038.94	164131.18
167	178692.30	252950.93
168	82450.85	250014.67
169	160612.99	149413.00
170	-71259.63	138287.58
171	109516.67	105777.22
172	104118.85	109602.82
173	140981.38	197888.48
174	245432.29	128094.68
175	243764.18	119068.76
176	-131773.23	202005.41
177	-91753.80	240018.89
178	228644.95	116601.54
179	204831.97	110627.64
180	-166158.07	162058.85
181	-37794.39	225809.62
182	180834.65	93430.80
183	-163764.90	162769.91
184	242825.24	149090.93
185	154785.36	133404.20
186	232993.15	190944.08
187	-148276.93	160062.98
188	236904.03	119500.92
189	-158017.28	174533.09
190	91721.67	139747.00
191	239858.60	109350.05
192	20588.84	206569.09
193	143860.45	127077.57
194	200729.80	278227.99
195	-178747.86	295525.25
196	226994.39	128303.06
197	-87783.63	90323.30
198	218118.23	187249.76
199	233561.72	106356.65
200	24219.76	201014.85
201	212651.39	114961.29
202	252211.03	121789.43
203	-170499.35	176642.96
204	201202.14	202921.89
205	211776.87	127761.02
206	153115.52	188527.52
207	239259.09	110089.67
208	174166.11	149748.40
209	219670.62	104502.19
210	122590.22	331975.64
211	-33187.36	166208.03
212	208773.08	288561.40
213	242347.46	111820.13
214	220538.66	181962.35
215	243172.33	115733.39
216	100965.41	310403.70
217	170301.30	284516.58
218	-21323.99	185942.39
219	-104999.22	158112.43
220	-148628.74	101579.61
221	136098.80	147570.43
222	197755.01	114992.34
223	-95887.56	316365.00
224	-169899.20	163706.44
225	209718.75	176879.01
226	210985.69	115138.45
227	-54666.38	329029.39
228	13218.80	201969.76
229	239827.55	109093.84
230	-68034.92	296993.61
231	-173113.17	343454.94
232	93686.37	220404.83
233	-141713.55	270957.60
234	247466.69	118231.66
235	-160457.05	162348.61
236	153110.81	189313.03
237	-117212.72	244478.01
238	128988.08	310302.52
239	-166250.55	161348.22
240	-157148.73	151767.69
241	-36933.59	113896.34
242	111696.31	108215.08
243	196098.32	270544.35
244	232097.90	142422.17
245	176438.73	145140.03
246	261837.53	138128.60
247	243438.78	111700.48
248	-164316.02	148066.51
249	239268.24	109036.45
250	181345.39	251894.01
251	187904.32	113286.44
252	-132127.92	145596.78
253	-95192.01	320371.10
254	-146935.97	181126.92
255	217134.20	288122.70
256	214556.02	179988.47
257	-185832.95	102280.80
258	238077.17	117971.75
259	241851.50	106759.86
